	AA_MEAN	AA_STD	CRAT_MEAN	CRAT_STD
38	3.1779475384269154e-08	5.32741516212671e-09	4.8628689131762115e-06	4.106191695420783e-07
39	3.546794099203379e-08	6.1416954440628535e-09	5.285770868977425e-06	4.60768958411505e-07
40	3.685903661712422e-08	6.753642646866881e-09	5.73662314449848e-06	5.312839221430717e-07
41	3.7954816626258136e-08	7.451399723658762e-09	6.253294233455835e-06	6.182298702223236e-07
42	4.459284050781258e-08	8.673511615801747e-09	6.773373564899053e-06	6.654052069511372e-07
43	4.4293992648542016e-08	9.397117050682136e-09	7.3423405427642735e-06	7.891665672497783e-07
44	5.261262099798825e-08	1.12546012653354e-08	8.00072210782692e-06	8.665113548907789e-07
45	5.619267385311871e-08	1.2381525435498682e-08	8.671247576943225e-06	9.66482889033356e-07
46	5.9512212301521606e-08	1.387293540647754e-08	9.411015682263097e-06	1.1135556385532815e-06
47	7.045309244152948e-08	1.658713630684635e-08	1.0237768940273529e-05	1.217156634498313e-06
48	7.428651047123041e-08	1.882973817509247e-08	1.1141873320947426e-05	1.4314328132217698e-06
49	7.606851770470818e-08	2.016071963471665e-08	1.2063970882207477e-05	1.6101573545887556e-06
50	9.002152971415138e-08	2.4027267284656757e-08	1.3123216295876927e-05	1.7765984050411371e-06
51	8.97739515164561e-08	2.579597567477221e-08	1.415195909484926e-05	2.0548191120472666e-06
52	1.077062460358429e-07	3.0835812390014764e-08	1.5504527859985783e-05	2.240161246718177e-06
53	1.2666610494491595e-07	3.634988097275506e-08	1.6817872849106488e-05	2.453923697936884e-06
54	1.247652355571915e-07	3.9298472389098796e-08	1.827830797043055e-05	2.90733571318243e-06
55	1.4763882025601438e-07	4.666285955111378e-08	1.9880590900494526e-05	3.1855735724586496e-06
56	1.7283594201833128e-07	5.485286785334701e-08	2.15125261820193e-05	3.438619243564311e-06
57	2.056078470061706e-07	6.404013388590243e-08	2.34679385614434e-05	3.704190723524426e-06
58	1.9281948936059797e-07	6.772301211684161e-08	2.5414235924180156e-05	4.497701568069739e-06
59	2.2672699144201097e-07	8.145117603567268e-08	2.752720256140944e-05	4.941821919595284e-06
60	2.6651277718218534e-07	9.484185564535325e-08	2.985788896895541e-05	5.323320581637554e-06
61	2.3657082194214214e-07	9.494470926607626e-08	3.250651041155957e-05	6.657675587203694e-06
62	2.7674271273881487e-07	1.1150409175241369e-07	3.507765596110681e-05	7.318783369556757e-06
63	3.250552760872077e-07	1.2720636733807977e-07	3.7952452512338864e-05	7.935164442418488e-06
64	2.5488077319021434e-07	1.1927504086135286e-07	4.105260676551285e-05	1.0478657483344507e-05
65	3.004874722483641e-07	1.4078043509027064e-07	4.4445475636791175e-05	1.1673315557462452e-05
