	A_tot	Perf_tot	Perf_area
236	6.758108615772317e-06	4	1.408948729005287e-06
237	7.262769740139428e-06	9	2.273954526079789e-06
238	7.383820787016375e-06	9	2.1523630379335887e-06
239	8.222516497003927e-06	14	3.508886425336287e-06
240	9.266274313467478e-06	10	4.771601904465418e-06
241	8.474576580272471e-06	10	3.6219743190192458e-06
242	1.5669782699301193e-05	9	1.0809847947696082e-05
243	7.136183912220455e-06	6	2.305895253879413e-06
244	8.38235117823456e-06	11	3.829931327964573e-06
245	7.007519221514683e-06	8	1.8593020588009584e-06
246	5.860261055428325e-06	4	1.1098045729267123e-06
247	1.2403837668849873e-05	8	6.795674250600239e-06
248	7.006673323185853e-06	11	2.467874924305283e-06
249	7.689512260557939e-06	7	2.4102736988860012e-06
250	7.067315944609222e-06	8	1.950160668276437e-06
251	8.654269049293534e-06	11	3.272284564015241e-06
252	7.456648889604549e-06	11	3.456903740331275e-06
253	7.210248922690009e-06	11	2.401756312291024e-06
254	5.987909675601378e-06	6	1.1902886321298054e-06
255	6.979023108910265e-06	10	2.2842428639129857e-06
256	6.034136357852442e-06	11	2.147566726540274e-06
257	7.673929109748088e-06	10	2.5697364578139255e-06
258	6.395183127788994e-06	10	1.9718075023233064e-06
259	8.21814168453868e-06	8	2.636931019437911e-06
260	8.762662751083975e-06	10	3.742585462138097e-06
261	1.564477623706707e-05	10	1.0647216238064196e-05
262	6.850488942213591e-06	11	2.9463804143660078e-06
263	8.502035597503407e-06	10	3.674836893331029e-06
264	8.486952170910565e-06	10	3.819469262688991e-06
265	7.2776938950759545e-06	9	2.1843451066816645e-06
266	1.090565363683227e-05	11	5.961476769423221e-06
267	8.139089808023038e-06	11	2.800808751192292e-06
268	7.071105506779658e-06	8	2.1740467356338217e-06
269	1.0190419474056106e-05	10	5.540203105307688e-06
270	6.509616595304645e-06	10	2.197086234037001e-06
271	1.0499800152106772e-05	11	5.098682327828634e-06
272	8.275355912429128e-06	11	3.7072744284687587e-06
273	6.222357051908002e-06	7	1.5382197436174105e-06
274	7.119419863854842e-06	8	1.7521185754489205e-06
275	9.038519940140683e-06	11	4.174176328443226e-06
276	7.113492056155903e-06	6	1.7156040356464196e-06
277	6.362190768832294e-06	7	1.5074864301553781e-06
278	6.473598181603779e-06	6	1.9185443998317586e-06
279	8.876012861642784e-06	9	3.4925642034107962e-06
280	8.050682588969176e-06	8	3.0886432519720608e-06
281	8.498836718365931e-06	12	3.7620988074556368e-06
282	9.556655533223862e-06	11	4.896688258662136e-06
283	6.897937317546645e-06	8	2.3176823227964108e-06
284	8.554983181588824e-06	14	3.916849808279502e-06
285	9.53274892753389e-06	10	4.262809707489966e-06
286	7.578318823259429e-06	12	3.1786882481200054e-06
287	1.2663135538467977e-05	12	7.750594139593375e-06
288	1.0507089336424986e-05	12	5.4537451866289755e-06
289	8.148686257788332e-06	14	4.2962938951677035e-06
290	7.950393858285894e-06	14	3.317842556840029e-06
291	7.156946030893807e-06	8	1.8081866623806736e-06
292	7.260701176968168e-06	9	2.604419062475415e-06
293	6.118183820576563e-06	9	1.958897955458032e-06
294	7.342332421397614e-06	8	2.164458903162591e-06
295	9.622103807411084e-06	9	4.260343075009341e-06
296	8.789935387235778e-06	10	3.979370126965101e-06
297	7.417103441625444e-06	7	2.3910254194822934e-06
298	1.022901001999343e-05	16	6.34828064620603e-06
299	7.690059597572517e-06	9	2.9555381935388043e-06
300	8.013245877072618e-06	10	3.265573870128199e-06
301	9.484939386379992e-06	10	5.1749495465115776e-06
302	8.791433454771117e-06	13	4.462501912853634e-06
303	7.203920180829173e-06	6	2.0664920138130205e-06
304	7.692745843845521e-06	9	2.737801227970441e-06
305	6.235745536482412e-06	6	1.3991339176634375e-06
306	7.904510658614735e-06	11	3.208046252292143e-06
307	6.770515013741241e-06	9	2.764241679025532e-06
308	7.64361342700146e-06	8	2.7376435562845818e-06
309	7.3268682330100665e-06	8	1.6920455118424544e-06
310	1.0301476654961883e-05	6	4.620476638419907e-06
311	7.048517474516075e-06	10	2.3175720266228517e-06
312	9.320158782223523e-06	12	4.621317404020744e-06
313	7.05012622081471e-06	10	2.6960794725923932e-06
314	1.0299534419686172e-05	14	5.671441844951745e-06
315	7.707069188272423e-06	11	3.032422028885771e-06
316	8.285877663277976e-06	9	3.0080278691493023e-06
317	7.66825093399586e-06	8	2.5076836896094937e-06
318	7.983870291809848e-06	10	2.9609283997835983e-06
319	7.0495160978534995e-06	8	2.3750362168459693e-06
320	7.743492093842597e-06	11	2.9460569082077666e-06
321	7.826685080865378e-06	9	2.9835729782189895e-06
322	5.85702094719647e-06	8	1.6525552114078223e-06
323	8.734632303168364e-06	11	4.17275588360449e-06
324	7.824656386214552e-06	8	2.5874914889772167e-06
325	7.205204770474765e-06	7	1.8547068832916841e-06
326	7.777901718059769e-06	10	3.204979015548242e-06
327	7.333011839971817e-06	10	3.0589615830026524e-06
328	8.299946925108544e-06	10	3.4869788068404627e-06
329	7.89972141922478e-06	11	2.951287496744562e-06
330	7.596655457982699e-06	8	2.2417835752557333e-06
331	7.272205373163977e-06	12	2.635226601837959e-06
332	8.176457900929113e-06	11	4.0816855191199635e-06
333	7.09055574460375e-06	10	2.860536356100906e-06
334	8.217823705269909e-06	9	2.6886274403855584e-06
335	7.985033145330448e-06	10	2.991129553396984e-06
336	8.97600053165243e-06	12	4.349748330869585e-06
337	8.754711248682398e-06	9	4.19827400856883e-06
338	6.823698445850703e-06	8	2.0169464863848265e-06
339	9.974032433077704e-06	11	5.165606242969598e-06
340	6.273169638004779e-06	6	1.2863267109983986e-06
341	7.5223706486622404e-06	12	3.5106725753674965e-06
342	7.317499667038557e-06	11	2.736051619395728e-06
343	6.840808154335205e-06	8	1.90617245090281e-06
344	8.398708783575993e-06	12	3.0999918871482565e-06
345	6.5202648078414146e-06	8	1.7434973848224505e-06
346	7.4584622906317104e-06	10	2.6774734193481157e-06
347	1.0261084671816725e-05	11	5.19655042207489e-06
348	1.1564061199532368e-05	12	6.445778709735893e-06
349	7.2939021214151174e-06	9	2.4030085977576962e-06
350	8.518429132254514e-06	9	3.6113792402366406e-06
351	6.703176386420414e-06	9	1.7478107602418555e-06
352	9.986702831541425e-06	10	4.4122168559418936e-06
353	7.723525119935388e-06	10	2.8119603257886477e-06
354	7.474597574145251e-06	8	2.6007124379805013e-06
355	8.857128586635013e-06	11	3.6717811708749777e-06
356	8.136277402598693e-06	8	2.7127317789575218e-06
357	9.143839322337504e-06	15	4.949900188800202e-06
358	7.911335008569723e-06	13	3.6311276691696393e-06
359	7.987937473079114e-06	9	3.4509309002078696e-06
360	8.116476413546064e-06	11	3.2041652204688304e-06
361	9.348678738219567e-06	11	4.5691563026970475e-06
362	1.157239167816628e-05	11	6.622168772032699e-06
363	5.948444519091449e-06	9	1.9861900525073986e-06
364	7.301692366071383e-06	6	2.1171078215507213e-06
365	8.577962513301154e-06	9	3.6946270057147634e-06
366	8.757344318233353e-06	15	5.098676109960985e-06
367	9.422248813203394e-06	10	4.360421055555226e-06
368	6.977443077364328e-06	9	2.168872799038116e-06
369	6.934284938487028e-06	9	2.0446303024062238e-06
370	1.1135289777489264e-05	11	6.770041402696226e-06
371	9.065820888814692e-06	10	4.602572706348605e-06
372	7.68477754787213e-06	12	3.2496108629825015e-06
373	1.098405464446865e-05	10	5.285847542205949e-06
374	7.98150087601482e-06	5	2.5900500377824686e-06
375	8.216438263592969e-06	9	2.98837212954394e-06
376	6.464758566892352e-06	9	2.370223474789619e-06
377	8.376422503518543e-06	9	3.045028719113266e-06
378	9.441321417100571e-06	7	4.144788978118032e-06
379	7.3722199005708774e-06	9	2.3883274815711727e-06
